index,comment_count,day_of_week,likes_followers_ratio,tags_value,object1,object1_l,object1_t,object1_r,object1_b,object2,object2_l,object2_t,object2_r,object2_b,object3,object3_l,object3_t,object3_r,object3_b,hour
96,24,3,0.044685039,0,0,0.211,0.12,0.752,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
97,16,2,0.040826772,0,0,0.322,0.284,0.565,0.939,26,0.498,0.386,0.577,0.633,2,0.121,0.415,0.279,0.503,21
98,6,7,0.031259843,0,0,0.002,0.224,0.304,0.706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
99,19,3,0.039685039,0,0,0.182,0.209,0.687,0.999,2,0.011,0.363,0.631,0.954,-1,-1,-1,-1,-1,21
100,49,2,0.052007874,0,0,0.363,0.185,0.779,0.928,0,0.884,0.238,0.988,0.388,7,0.025,0.282,0.217,0.387,17
101,23,1,0.047559055,0,0,0.49,0.497,0.691,0.954,2,0.171,0.51,0.862,0.915,-1,-1,-1,-1,-1,20
102,7,1,0.029094488,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
103,12,7,0.042440945,0,0,0.262,0.186,0.868,0.995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
104,36,5,0.044370079,1900479,0,0.359,0.546,0.625,0.994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
105,7,3,0.023582677,0,41,0.569,0.679,0.796,0.871,44,0.477,0.864,0.805,0.902,-1,-1,-1,-1,-1,12
106,21,1,0.042637795,0,0,0.204,0.107,0.958,0.987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
107,7,6,0.033937008,0,2,0,0.539,1,0.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
108,20,4,0.029015748,2803274,0,0.201,0.424,0.626,0.987,0,0.628,0.355,0.713,0.586,0,0.521,0.387,0.603,0.571,21
109,13,3,0.035866142,0,0,0.526,0.078,0.833,0.883,0,0.031,0.464,0.535,0.995,-1,-1,-1,-1,-1,19
110,3,2,0.025275591,0,8,0.282,0.61,0.301,0.639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
111,16,1,0.036496063,0,0,0.241,0.041,0.882,0.989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
112,15,6,0.038661417,0,0,0.121,0.245,0.43,0.977,0,0.732,0.435,0.743,0.455,0,0.751,0.437,0.762,0.453,20
113,11,5,0.027283465,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
114,16,4,0.036102362,15969,0,0.538,0.501,0.817,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
115,8,3,0.031417323,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
116,18,2,0.037086614,0,0,0.064,0.201,0.673,0.987,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
117,7,2,0.041771654,0,2,0.701,0.918,0.773,0.961,2,0.968,0.86,1,0.9,8,0.415,0.735,0.423,0.741,9
118,9,1,0.042834646,0,0,0,0.481,0.448,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15
119,21,7,0.042244094,1915963,0,0.356,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
120,11,6,0.038858268,0,0,0.27,0.248,0.585,0.971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
121,3,6,0.021102362,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
122,23,4,0.037322835,0,0,0.084,0.166,0.654,0.938,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
123,36,4,0.038779528,0,0,0.028,0.153,0.677,1,0,0.598,0.864,0.614,0.884,0,0.776,0.87,0.789,0.898,15
124,18,3,0.028385827,0,0,0.205,0.517,0.5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
125,13,1,0.034173228,0,0,0.011,0.729,0.418,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
126,3,1,0.032637795,0,37,0.787,0.5,0.875,0.905,37,0.69,0.403,0.801,0.889,37,0.578,0.369,0.697,0.915,11
127,8,7,0.035472441,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
128,14,5,0.035944882,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
129,15,4,0.032755906,0,0,0.319,0.058,0.874,0.947,0,0.574,0.308,0.589,0.337,39,0.439,0.546,0.49,0.7,23
130,12,2,0.038307087,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
131,22,1,0.048543307,0,0,0.279,0.117,0.627,0.992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
132,23,7,0.045944882,0,0,0.321,0.319,0.579,0.915,7,0.001,0.513,0.103,0.619,2,0.281,0.552,0.349,0.594,21
133,13,6,0.038267717,0,0,0.558,0.48,0.751,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
134,13,4,0.043070866,0,0,0.124,0.252,0.891,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
135,6,2,0.033385827,76913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
136,11,1,0.028543307,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11
137,26,7,0.040787402,0,0,0.114,0.556,0.506,1,0,0.147,0,1,0.926,-1,-1,-1,-1,-1,21
138,9,1,0.03484252,0,0,0.039,0.035,0.862,0.979,2,0.818,0.001,1,0.077,-1,-1,-1,-1,-1,19
139,6,7,0.026889764,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
140,20,2,0.038740157,0,0,0.255,0.197,0.877,1,0,0.224,0.439,0.238,0.466,0,0.144,0.434,0.157,0.468,22
141,12,1,0.037716535,0,0,0.204,0.191,0.947,0.98,28,0.657,0.711,0.878,1,-1,-1,-1,-1,-1,13
142,23,3,0.041929134,0,0,0.03,0,0.839,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
143,23,2,0.048700787,0,0,0.291,0.103,0.605,0.991,60,0.533,0.459,1,0.548,-1,-1,-1,-1,-1,21
144,12,2,0.036377953,0,0,0.445,0.21,0.978,0.975,75,0.536,0.246,0.681,0.397,-1,-1,-1,-1,-1,17
145,9,7,0.031929134,0,0,0.028,0,0.985,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
146,21,5,0.067204724,0,2,0.239,0.371,0.389,0.435,0,0.299,0.206,0.669,1,0,0.873,0.33,1,0.583,21
147,13,4,0.065629921,0,2,0.329,0.991,0.426,1,0,0.553,0.984,0.572,1,9,0.048,0.394,0.072,0.468,21
148,32,3,0.037834646,0,0,0.27,0.293,0.735,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
149,7,2,0.030511811,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
150,14,7,0.035393701,0,0,0.269,0.358,0.585,0.989,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
151,4,6,0.035354331,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
152,23,5,0.038661417,0,0,0.345,0.155,0.782,0.977,0,0.348,0.2,0.37,0.24,0,0.015,0.159,0.027,0.193,13
153,21,2,0.036456693,0,0,0.311,0.221,0.588,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
154,21,7,0.046220472,0,0,0.454,0.299,0.917,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
155,6,7,0.021023622,0,41,0.017,0.072,0.362,0.394,41,0.318,0.434,0.805,0.851,41,0.57,0.196,0.991,0.462,9
156,25,3,0.05019685,0,0,0.297,0.339,0.627,0.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17
157,6,1,0.03019685,0,45,0.504,0.296,0.737,0.483,45,0.428,0.469,0.61,0.656,45,0.595,0.124,0.816,0.277,13
158,35,7,0.058188976,0,0,0.422,0.121,0.943,0.994,2,0,0.365,0.058,0.407,2,0,0.388,1,0.923,21
159,4,6,0.037047244,0,0,0.319,0.136,0.327,0.149,2,0.005,0.214,0.884,0.9,0,0.411,0.132,0.421,0.147,22
160,18,5,0.053346457,0,0,0.548,0.584,0.823,0.983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
161,13,4,0.039685039,0,0,0.262,0.312,0.694,1,0,0.771,0.508,0.832,0.627,0,0.67,0.513,0.704,0.587,21
162,13,1,0.028661417,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
163,6,4,0.02988189,0,0,0.074,0.025,0.926,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
164,12,4,0.035748031,0,0,0.306,0.189,0.906,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
165,39,1,0.047519685,0,0,0.347,0.273,0.656,0.951,58,0.879,0.502,1,0.796,-1,-1,-1,-1,-1,18
166,11,7,0.03511811,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
167,28,3,0.035433071,0,0,0.195,0,0.81,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
168,5,7,0.025275591,0,0,0.698,0.808,0.856,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12
169,19,2,0.042401575,0,0,0.062,0,0.954,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
170,13,1,0.024606299,0,75,0.702,0.266,0.969,0.636,60,0,0.092,0.995,0.986,45,0.016,0.204,0.604,0.68,11
171,12,7,0.033858268,0,0,0.388,0.302,0.576,0.998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14
172,22,3,0.041929134,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
173,9,3,0.025669291,0,0,0.057,0,0.52,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10
174,19,2,0.046968504,0,0,0.33,0.584,0.508,0.986,56,0.817,0.778,0.995,0.942,-1,-1,-1,-1,-1,22
175,17,6,0.036574803,0,0,0.398,0.321,0.601,0.758,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
176,12,5,0.058937008,0,0,0.06,0.225,0.929,0.958,73,0.828,0.454,0.986,0.67,-1,-1,-1,-1,-1,21
177,10,4,0.046102362,0,0,0.293,0.163,0.719,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
178,8,3,0.030511811,0,37,0.003,0.198,0.195,1,37,0.352,0.134,0.522,1,37,0.556,0,0.73,1,19
179,14,7,0.036141732,0,0,0.126,0.175,0.875,0.944,0,0.665,0.579,0.721,0.695,0,0.002,0.106,0.379,0.993,9
180,9,6,0.040708661,0,0,0.108,0.475,0.645,1,3,0.842,0.584,0.998,0.867,41,0.284,0.766,0.356,0.839,22
181,8,5,0.037401575,0,0,0.567,0.606,0.685,0.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
182,11,5,0.040551181,0,0,0.523,0.322,0.776,0.995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9
183,14,3,0.029409449,0,71,0.149,0.749,0.617,0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
184,8,2,0.032874016,0,0,0.014,0.439,0.314,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
185,14,1,0.048188976,0,0,0.521,0.149,0.79,0.977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
186,6,7,0.03992126,0,0,0.269,0.32,0.52,0.985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
187,22,6,0.03515748,0,0,0.093,0.196,0.677,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
188,4,5,0.019055118,0,41,0.729,0.453,0.79,0.518,7,0.015,0.383,0.976,1,45,0.844,0.445,0.998,0.51,16
189,10,4,0.038110236,0,0,0.041,0.385,0.29,0.969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
190,9,4,0.036850394,0,0,0.368,0.178,0.921,0.993,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
191,8,3,0.027401575,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8
192,20,2,0.046653543,0,0,0.506,0.339,0.663,0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
193,15,2,0.038228346,0,0,0.146,0.659,0.272,0.799,59,0.373,0.573,0.487,0.669,13,0.524,0.606,0.681,0.707,0
194,19,1,0.05492126,0,0,0.252,0.405,0.655,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
195,9,7,0.032244094,0,0,0.598,0.831,0.682,0.927,0,0.488,0.818,0.593,0.911,0,0.053,0.809,0.137,0.906,15
196,12,7,0.034094488,0,0,0.327,0.478,0.662,0.974,29,0,0.573,0.102,0.606,-1,-1,-1,-1,-1,9
197,18,5,0.035905512,0,56,0.117,0.661,0.317,0.886,0,0.134,0.653,0.344,0.889,-1,-1,-1,-1,-1,13
198,5,4,0.026889764,0,0,0.528,0.881,0.546,0.943,0,0.265,0.906,0.284,0.971,0,0.219,0.947,0.251,0.999,16
199,24,7,0.05492126,0,0,0.294,0.265,0.745,0.981,26,0.267,0.31,0.384,0.471,-1,-1,-1,-1,-1,21
200,5,6,0.029370079,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13
201,6,5,0.03515748,0,0,0.33,0.262,0.577,0.855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
202,11,4,0.034566929,0,0,0.533,0.365,1,0.984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
203,15,2,0.039212598,0,0,0.52,0.233,0.819,0.988,0,0.141,0.269,0.565,0.749,-1,-1,-1,-1,-1,21
204,23,7,0.037362205,0,0,0,0.018,0.956,1,0,0.318,0.468,0.974,1,46,0,0.177,0.809,0.97,19
205,10,7,0.028188976,0,0,0.452,0.734,0.491,0.799,14,0.455,0.733,0.491,0.785,-1,-1,-1,-1,-1,17
206,6,5,0.039173228,0,0,0.398,0.146,0.822,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
207,7,4,0.039055118,0,0,0.608,0.545,0.895,0.958,16,0.637,0.764,0.774,0.939,0,0.433,0.556,0.438,0.566,16
208,31,3,0.048897638,0,0,0.14,0.178,0.703,0.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18
209,21,2,0.039685039,0,0,0.24,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
210,4,2,0.032283465,0,14,0.275,0.455,0.322,0.473,9,0.817,0.635,0.86,0.69,9,0.532,0.652,0.549,0.707,10
211,24,1,0.049251969,0,0,0.379,0.444,0.851,0.977,2,0,0.36,0.705,0.885,-1,-1,-1,-1,-1,21
212,6,1,0.021929134,0,39,0.718,0.007,0.939,0.317,41,0.585,0.278,0.817,0.49,42,0.308,0.117,0.673,0.244,9
